0007106823	A1UPBP7ED9DTTY->5.0;
0802422772	unknown->5.0;A2C4LLIX0J9WQX->5.0;AXMJ7BYYBVCEG->4.0;A2O3TOEJQKMWLC->5.0;A29GA8PFT6GWFH->5.0;A1XBIRWJJO5FN->5.0;A3O416XZO4WBR4->5.0;
0802841899	ARI272XF8TOL4->5.0;A36TPZSH8LBT1->5.0;ANX3DDV12ZRRU->4.0;A2H2LORTA5EZY2->4.0;
0806525428	A1DHA0GWSWQRG0->1.0;AR3VTNXYLZRYI->4.0;
0809080699	A18YY5TBNSDW3O->5.0;A29LG535LJRITI->5.0;
0826414346	A14OJS0VWMOSWO->5.0;A3VA4XFS5WNJO3->4.0;A25MD5I2GUIW6W->5.0;A2RSSXTDZDUSH4->5.0;A2F6NONFUDB6UK->4.0;A22X4XUPKF66MR->4.0;A2MVUWT453QH61->4.0;A3UH4UZ4RSVO82->5.0;A30TK6U7DNS82R->5.0;
0829814000	AGKGOH65VTRR4->5.0;AZ0IOBU20TBOP->5.0;A3OQWLU31BU1Y->5.0;A373VVEU6Z9M0N->5.0;
0847822982	unknown->5.0;A3UYWQ5AHHQHGC->3.0;
0854968350	ATDE9JYCPI0L1->2.0;A2OP3N8OXCQEZB->5.0;
0887402216	A29SCEAL3JPMYW->4.0;A30IUAABSEHEPI->3.0;
0895554224	unknown->5.0;A1IVIK8YJRIQWU->4.0;
0908968000	A3Q7EWPN8MK8MS->5.0;
0918973031	A2JCSLVBZ1BZ46->2.0;A309DQ3THGNXD->5.0;A1H4HMVBMQFUGR->5.0;A1X1CW1GXKC50V->5.0;A9MBRG3MYS472->5.0;A2KSXSRTMD3ZJ4->5.0;A32ZQ5DEXBL60Z->5.0;A1PYZR7NRX62CN->5.0;A252PRC1XBMTQJ->5.0;A38FACH4R3BB6V->5.0;
0921338511	A1GEFAQA4QRJJN->5.0;AOYKA3C90ZLNK->5.0;
0934638160	unknown->4.0;unknown->5.0;unknown->5.0;AT71P5P4PT232->5.0;A1AFXJ8U72MD6L->4.0;A1S3MODBLLOP40->4.0;
0963923080	unknown->5.0;unknown->4.0;A3NIQK6ZLYEP1L->4.0;
0974289108	A22WHL8P1DONEK->1.0;A3AJA5ADM3Q8LM->5.0;A142FRLMOAOLC7->4.0;unknown->5.0;A79QZ7YQFIXG6->5.0;A2Y6KQPZUZP1MM->2.0;A1KZ0RDJZQSY4O->3.0;
1559701315	A1RIAF5QEF3NRN->2.0;unknown->1.0;
1562650076	unknown->1.0;unknown->4.0;A2B3X891TTT91M->5.0;
157067051X	A1HE0OMWF7ZZPH->5.0;A16HXVNPU5TCGE->5.0;A2G9K0VN578H3L->5.0;A3W1KIKQ93S62->5.0;A1ER5AYS3FQ9O3->5.0;A1MKXB7UA801SP->5.0;AEO0LK7V97LTK->4.0;A1V0FY25PVMRGM->5.0;A1AGUFCR52HDRA->5.0;A1WBUHQIIHUA8O->4.0;AMVKPYWOSLZ96->5.0;
1582611440	AF2VPO1D4ZJ0X->5.0;
158322047X	A2NI0TUDXKM2FP->5.0;
1590526848	AJEQ50YCVU8CN->5.0;A2DYQW17LEPLP3->5.0;A3U61SJ1QZ17GC->5.0;AWGAACIQ6UKOB->5.0;AWP31GUSES43G->5.0;
1858683092	unknown->4.0;A1AYN4J7T43M11->3.0;
1861081162	A1GX5GWBO496JS->4.0;A38E8BNZIZ6G8B->5.0;AWVI20AAHK2JE->2.0;A266OQ4FL6I4QV->5.0;A2H0T0PY5IMEFX->4.0;A1B3ZU683610G->4.0;A2JXCV4AZR4QYO->5.0;A7ZDBW98UHTTY->5.0;
1882931173	AVCGYZL8FQQTD->4.0;
1884734766	A14OJS0VWMOSWO->5.0;A3FS4C506SN3RS->5.0;A1ZADUO0F53PPO->5.0;
1890951617	A3R79XTTVMC7YQ->1.0;A1ZZW9RNNWKZGK->2.0;A2EHVPGGLSID31->5.0;A2WZTP8F3X5CBA->5.0;AU7ND6NOCX9IA->1.0;
3161453549	A2VMAQ4SPK1DRX->1.0;unknown->4.0;A15VL8XO8POFCI->5.0;unknown->1.0;
3526448353	A1Z54XL1HPQ4QM->1.0;
6303310001	A3QPRMNUNXURD2->5.0;unknown->2.0;A3QDUJ7VIE3NR->5.0;A1AVP0IP8M3GBN->5.0;unknown->5.0;unknown->5.0;
9687968478	A3EI9DJOLMOJRA->5.0;A2DUHTNIICT49N->5.0;A2D2TAWMGQJYCJ->5.0;A32ZZARGFU721J->5.0;A25CKNCOJTKRF7->5.0;A2SZGIUKIIVDMS->5.0;unknown->5.0;A1F84RJ51I85EX->5.0;unknown->5.0;unknown->5.0;unknown->5.0;A2UHQGFD4X8TC0->5.0;
B0000089M6	unknown->5.0;
B0000089M7	A1SI3KUN9606RY->5.0;unknown->5.0;AF69MRUME9KMQ->5.0;unknown->5.0;unknown->5.0;
B0000089MM	A1GXR2XLRQ60LG->5.0;
B00000C3P2	A14K0ECK4KPOTE->5.0;A168INB0KUOA85->5.0;A2ZZGCAPDGJ73H->5.0;
B00000C3PK	AAE2DUEMTR30I->3.0;
B00000HYEQ	unknown->5.0;unknown->5.0;A36Q9NXMJDNH9K->5.0;unknown->1.0;
B00000IU09	AWRD6M0I67Z0E->5.0;
B00000IU0U	AZ8074SC4T8H6->5.0;A299OBXVVK01DB->5.0;A1FKDQUPD7GWRG->5.0;
B000020660	A3V1WSTOULYH0V->4.0;
B000020663	A1BPUIFU6YASGC->5.0;unknown->5.0;A2FG68HF1L9EJX->5.0;A1IFWIRK8O1N64->5.0;unknown->5.0;unknown->5.0;unknown->5.0;unknown->5.0;unknown->5.0;A330K1NZBFVCO2->5.0;unknown->5.0;
B00002066E	unknown->3.0;AICRDGOQ9KCVA->4.0;A3Q6H595Y9OFT7->4.0;A30YFBCR5D3ITM->5.0;unknown->4.0;unknown->3.0;A376UB8I8L6YQ9->5.0;
B00002066H	AFHNGMKBVS6CB->4.0;unknown->1.0;
B00002066I	A2KLYVAS0MIBMQ->5.0;unknown->5.0;
B00002066Q	A1OL8M7WN8BBAV->5.0;unknown->5.0;AAXFDYSK5ONIH->5.0;unknown->4.0;
B00002066S	A2JSXNNZR8LSRO->3.0;unknown->1.0;
B0000255BQ	A1A1R0PWPG3BIP->5.0;
B000057EM8	A5WA26NHVBJ6->4.0;A1UFQUSXZ4FPPX->5.0;A3PN8LAJDNB4IH->5.0;
B000058A81	A326VXSYPBCMQ7->5.0;A2SJ0LSP5YUYGP->5.0;A18C9SNLZWVBIE->5.0;A38QSOKE2DD8JD->5.0;AKZLIIH3AP4RU->5.0;A1FELZOGR5DEOM->5.0;A2KACA2XFCGS8S->5.0;AR66260V9H91B->5.0;A3CKAD2MAEM157->4.0;A345GZYTC6CQ6Z->5.0;A1QG359N5QLUZK->5.0;A2J7Q6SC7ZG8I6->5.0;A10B5XF3C6UFOV->5.0;A8810FHPNEREL->5.0;unknown->5.0;unknown->5.0;A27NEM07T7CDQ4->4.0;A3D8T6YHSLYGWY->5.0;A82ERU3622YJI->5.0;A2GAQ3FLG7LI8D->5.0;A1RSXP7MB772E3->5.0;A1AR8HYZ17T5H7->5.0;A3C6R6Y6MUXQDM->5.0;A1E4KYNQI3P6QO->5.0;A119VJ474WDPAU->5.0;AG7RPAOC7L7OZ->5.0;AP873CKMZT1FV->5.0;AFF5R2KEB0PO4->5.0;AZPK4D6SO2ZT5->5.0;A310GKM5693NRG->5.0;A1XSXXKITSCC7F->5.0;A1IPI5V1FVE354->5.0;A8AMGDYS73PL9->5.0;A380TO7W3JNT72->5.0;AM8K619L97JWR->5.0;A3GXD7RZLS8USP->5.0;A1QA8K3LD9K892->5.0;A1XJVHJP64D37O->5.0;AHG5JZSVPS6WR->5.0;A2NXOW1IQ2BW85->5.0;A9AX1D31T7J1S->5.0;A2F9JDBYG6U9VH->5.0;A2ERTFH7P4K1XQ->5.0;A3380FWTZOAF0D->5.0;A1H9VK6NK9OSD0->5.0;A2EXPIEC5A7TN6->5.0;A3K75QQ18L63IW->5.0;AY86QATTP0P3X->5.0;A16LR96HZ5UK7Z->5.0;A1FBGEBNYMFAHO->5.0;A390V0MQLXVPU9->5.0;A2YBC9UNN9G3J9->5.0;A2FAUWMT2CVLL9->5.0;A28JDCKBEDSI1D->5.0;A2BVZU0E84E28->5.0;
B000058A83	A2KMI1V2L8EHU3->4.0;A1H57FVWRTMNIQ->5.0;A2H06FLSHCGNX->5.0;A3H7I8C38LRE5I->5.0;AXZN6EB3EQI1B->5.0;A1JSZIY0C56GLG->5.0;A35R8PJSEURHHF->5.0;A2R4HK5ZJKL0UH->5.0;A3KT4M29037BHL->5.0;AANNO9WUGN4XA->1.0;AANNO9WUGN4XA->1.0;
B000058A8F	A35VUGWAQZZ6JV->5.0;A2YVYPAA1JTMJU->5.0;A3I7NEP6FLTGTC->5.0;A2F9JDBYG6U9VH->5.0;A1REWY0IXHT7J0->5.0;AQ4PP6KUZARAE->5.0;
B000058A8S	AV7LV23VYNNBA->3.0;A3NYINAZJYIYJ3->4.0;
B00005X3VY	A2NZ3DECZWC7ZI->3.0;
B0000630M2	A1HZ35DVH00514->5.0;
B0000630MI	unknown->3.0;A34WQWY07VOZNU->5.0;A330FV4KFIILJA->4.0;A1RDC3FAKWAEDK->2.0;A12XPDDHTFIRD4->2.0;A27YO2HVUD6G6C->2.0;A19527WTJM6F4M->4.0;A1SMY1PJSPHE8D->5.0;A1HTRPF9V9R3CF->4.0;A1R1LQ16N39YKQ->4.0;unknown->4.0;unknown->2.0;A3KQ0XLKNINQY2->4.0;A1NGUBVZWNJHMJ->4.0;unknown->3.0;unknown->5.0;unknown->4.0;A1MVZINROKGW1->5.0;A7Y6AVS576M03->4.0;A1AFN3PIC46PAX->4.0;A3UHX0EYOVBGRY->5.0;A23Z1XWBPYKBJT->4.0;A1JQQL09WRDOB0->4.0;A2F0MTSF80AK3K->2.0;A1RLF8XA7W4QCW->5.0;unknown->4.0;
B0000630MK	A1APIR6FTZ97T5->1.0;unknown->5.0;A1NXAX7OLXNWRK->5.0;AF5F5657AFPSM->5.0;A1T9IYU0FZZBQ->5.0;A5JLAU2ARJ0BO->3.0;A11A8GWG0IXBZH->4.0;AM9OCJVRILYSH->4.0;A39GE2G7OUZ24W->5.0;unknown->5.0;A1TWHKPFIOYZXG->4.0;A3DNUML12SI2Z9->5.0;A13I729IPODO2H->4.0;A3320A4SA3KOXQ->4.0;A73BCRA3NSSXI->5.0;A1SGSDUSG0IQW->5.0;unknown->5.0;
B0000630MQ	unknown->5.0;unknown->5.0;A2QXD8MS1OF4JW->5.0;A4V0KWQSGOTSA->1.0;unknown->5.0;A1AJFR0HE1AU6A->4.0;unknown->5.0;A318XV56UYB6R6->4.0;unknown->4.0;A1IT7KPZW9DY05->5.0;A1A9XMLCX89QQ4->5.0;A18VT083FG5FLJ->5.0;ANIECPE44BJTK->5.0;AYE7NU8RQF5PM->5.0;A5WB7RVEZZHLB->5.0;A364K8AIR5OPVQ->5.0;A2F6FARSB1VL6Q->5.0;unknown->5.0;A3P56Q3XEGTBNY->2.0;unknown->5.0;AZIM9ZTGB8Q12->5.0;AI6FTXD65U3ZH->2.0;A1GLC0S9H532IU->5.0;unknown->1.0;unknown->5.0;A1IAJUA5PV2UOF->5.0;
B0000630MS	A3J98P3HMMYWBY->4.0;AEKL1V02VIS2V->5.0;
B000063W6U	A2JQK0SPWQYKP8->5.0;
B000063W6W	unknown->5.0;A3F2DHG5KIZRSV->5.0;A30RI0AJ4CQBU1->5.0;
B000063W6X	A3P569I9C0D4Z9->5.0;A2ACXYQ3J88CHV->5.0;unknown->5.0;AIEJ98KQRQ5NV->5.0;
B000068VBH	A2N1ARMNZ6EE4B->5.0;unknown->3.0;A1YBVJUMC1MWGW->3.0;A1AHENG9J7UXLH->5.0;AREHJAXG34D6C->5.0;A32JRPZFHCPDU8->5.0;A2TPSMRBKIKERE->5.0;A3BDDLPSH67V65->4.0;A3QWBPMX1W5L89->5.0;A1H5SDDE5P6E0I->4.0;A2DCN5CM5RJAI6->4.0;APHYWHDX9FRPY->5.0;ALLC1CRYOX4TC->5.0;A2Q5K9FAGVD6IO->5.0;unknown->4.0;ADMLUFK21X59A->3.0;A3I1K312PF7WAI->5.0;AFXOGDZDZEP8M->5.0;unknown->5.0;A18TLWHJG3GPZO->5.0;ASQGW7OBXG9N4->5.0;A2491FH23PWKL6->5.0;A15I7M3QKEPRHZ->4.0;AYCDIWMWVPK3Z->4.0;A2407RYWGA6HK5->5.0;A2SYVF1A4FPBXW->1.0;A2ACZVOFZO8DBZ->4.0;A3G3V0IM6SC7TL->5.0;AOHM2Q4BBMOB8->5.0;unknown->1.0;unknown->5.0;unknown->3.0;A3BNXKD76XEPTZ->1.0;A3I0Q9VGAGTD3A->1.0;A22OVPBIEOCG5Z->5.0;A2MHQTKRXI5QYE->5.0;A1DRSOQP1GN4JM->5.0;unknown->5.0;A20Z6ZF7SJJHYA->4.0;A2RQPACGPKJ9XY->5.0;A5RWHY38NJ4J0->4.0;unknown->5.0;A2K5541HXQVTHW->4.0;A2EZNERVJW3WR4->4.0;A2OIXM5GEIAWD1->3.0;unknown->5.0;A15CIBB0RBTQYL->1.0;unknown->5.0;A3KYRBWGETF3E9->4.0;A7F8BNJVPRUSE->2.0;A2Y85IIM3NO2O9->5.0;unknown->4.0;A164FLJLMH57TW->5.0;A2Q961OW26N8HZ->5.0;A3OD3BAI2JETXA->5.0;
B000068VBK	unknown->5.0;unknown->5.0;A2QRRX9VE4Z7UO->5.0;unknown->5.0;A16M2GHYVQOSXZ->5.0;unknown->5.0;ATYEH2YEW3INJ->4.0;A33LFS8AS5FBHQ->4.0;A2PC2QTSIT6WCM->4.0;A32CU3M4K5HVK9->5.0;AS0IFZA8L0JFW->5.0;A3BEV53XOJTMUR->5.0;A1G1UA4XSWAZW9->5.0;AGDE2OLH5P2LQ->1.0;A1ZUYN5EHSQYD7->5.0;
B000068VBQ	unknown->1.0;unknown->1.0;A226DRVTNFWM28->5.0;unknown->4.0;A10P44U29RNOT6->1.0;unknown->2.0;unknown->2.0;
B00008FG19	A1NYHRMWTTIGI1->4.0;
B00008FG1L	AJYSM99XWVT4O->5.0;A3SUG1O5YSG659->5.0;A1J4DJY620QLI3->5.0;
B00008FG1N	A2CW9IQAPFEYLM->5.0;A23OXX62VWJU48->5.0;
B00008FG1T	A2DIWGD35DLHWN->5.0;A23I4TZSZYSY1Q->5.0;A1O2LLF5WSPJJM->5.0;
B00008FG1X	A17DL2DGXRU56W->5.0;
B00009LW26	A1AJSIOX42973B->5.0;unknown->5.0;A9E7XZEMW0K9V->5.0;
B00009LW2W	A1SE8NEJKDID1Q->5.0;A3DH13UUCBSV8E->5.0;
B00009LW2X	A3KHGI7CK3LSK8->3.0;A20CTKKZEQGD3E->4.0;
B0000C3XX5	A34JM8F992M9N1->5.0;
B0000C3XX9	A34JM8F992M9N1->5.0;
B0000C3XXB	A34JM8F992M9N1->5.0;
B0000C3XXN	A34JM8F992M9N1->5.0;
B0000C3XXU	A34JM8F992M9N1->5.0;
B0000C3XXY	A34JM8F992M9N1->5.0;
B0000CJHIO	A1UHTWM53B5KM1->4.0;ACE5PU6MFDSVA->5.0;A3NJSA3KWD5SUF->4.0;unknown->4.0;AUCYV4UOTSU3Y->5.0;A15A5BMZ0K8ZYM->5.0;A9WHN5LL0T8FY->5.0;unknown->5.0;A2YE0VRKSVBRPJ->5.0;A22PE7W18KPDE2->5.0;A9W295HMNO5DF->5.0;A2KSU22NYSDB1I->5.0;A25Y8RE822P6RP->5.0;
B0000DF3IX	A244MHL2UN2EYL->5.0;
B0000DF3IZ	A2IX3WV5L2YY06->5.0;A2MTM9GQMR7CJ3->5.0;
B0000DFZ2W	A2RPY927BXQKL4->1.0;A3PMEFL1NMRTGE->1.0;
B0000E1P87	A1BKU1LWLPGIJ6->5.0;A36GFHAV7PR313->5.0;A1OQSYYQ0Y7LLV->5.0;A1L1U4IJK8ZXCF->2.0;A9NA1BVR6JCK5->5.0;AFB2GY2OFW7LZ->5.0;A3RHQZ7001PQ0U->5.0;ATGBOLOE0ZQJB->5.0;A2X3L31KCXBHCL->5.0;
B000179R3I	A3Q0VJTUO4EZ56->4.0;
B00017HOWY	A35CFOAO34MN7S->5.0;
B0001XARZ4	A1AVXUUEPZX7Z0->5.0;A1BMCQO8O3Q7W8->5.0;A3VDGERHHLOQVQ->5.0;A1OTGBG66P6K5Y->5.0;unknown->2.0;AEQFYOI6YJ83Z->5.0;A3CPA0XGKNY9ZJ->4.0;unknown->5.0;A3CPA0XGKNY9ZJ->4.0;A3CN9CCJUNIPKT->5.0;A1QSGER4AT3IRT->3.0;A1C309CWOBE1T2->5.0;unknown->4.0;A2M8G0O2K0T2JB->5.0;A3CN9CCJUNIPKT->5.0;
B0001XARZY	AY3NFQGDKZPNU->5.0;A2AHQIAND37I87->5.0;A51VTRWD41A6O->5.0;A2D832OA6Q5ZAS->4.0;
B0001Z3TLQ	A3421LTBSWSPXK->4.0;A1B8X446EXNZBF->5.0;A3SVRX0U6ZGAXL->5.0;
B00021Y9AE	A3DCK6XYJO52Y0->3.0;
B000250KLW	A3T5IOWB75ENAB->4.0;A24K5I6HLBY2IG->5.0;A36BDWLPMQQR66->5.0;
B000278ADA	A21F8C1MDLQDTH->5.0;A1DEHAP5BK7X7J->5.0;AWUJSCZC3EPH4->5.0;A1ZJAH4V5W1OKP->5.0;A15J55UWZ8JLJM->1.0;AUIZ1GNBTG5OB->2.0;A9Q3932GX4FX8->3.0;A17KXW1PCUAIIN->5.0;A1BTRWL1E3T2YB->5.0;A3GQAVM66FA88J->5.0;A3J4K29TNC7RV1->5.0;ASL7LZAL2LBMS->5.0;
B00028NJTY	A3RNIF23UKNKKB->5.0;A2G0LNLN79Q6HR->4.0;A38DKLX0UNTAL9->2.0;
B0002ARHAE	A3PXLJE4OPIQTY->5.0;
B0002C9P02	A30EO8MSILDLSO->5.0;
B0002DUT7E	A2OJWFOMBSG0VF->1.0;A2OV1Y76EYUDLN->1.0;
B0002M1FPK	AITX28WR0L5Y6->5.0;A2O2W130BLYGEJ->3.0;A1V0A67G2G1LLD->5.0;A1ZPFKIGT4I69S->5.0;
B0002QF1LK	A1OXZYOV52DNGL->5.0;A3IY9HIAMJQ7HL->4.0;A12IDQSS4OW33B->5.0;A3FL7SXVYMC5NR->5.0;A3BLSHNN3M27VI->5.0;A294VLUYF416UF->5.0;A1RYU3V8L7I8S2->5.0;A1BM8VPI0U59D1->5.0;A2GZKHC1M4PKF4->3.0;A2APHQA8UQTV0->3.0;AUGT2DOGKLHIN->5.0;A2PNSZA0JC343L->5.0;
B0002ZI3NY	A3M0FD65RC3DJ7->5.0;
B00064C0IU	A1FWT811DSZLC8->3.0;A176IQ7MVD3N6T->1.0;A34BDX4JVMG23Y->5.0;A1THE6V6O8ROD4->5.0;
B00064MUJE	AXRZ4ZENS07ZG->5.0;A2VL66ZQQNFOC0->3.0;A3DFH4CKPIT0N9->4.0;A2V3C89YDGZ5LP->4.0;A1M3H01S60KPEI->5.0;A3P13O652NNO6V->4.0;unknown->5.0;A159YQGH4XIFAC->5.0;A2TAKIT4YEEMW6->4.0;A3H7FM7I6LCUTO->4.0;A38N9A0UJVYIRI->5.0;A2PPUI2ITB8I1V->5.0;A27OI4CW9P0D1O->5.0;A3383UV143WRN9->5.0;AGIR4MLM5NFRZ->5.0;A2Z31GQ0ITPDO3->5.0;AS244PZPER4A9->5.0;A3SLP966QM4WRG->5.0;A1XSGFCJAY6STD->5.0;A2TQE3MYVRITFZ->5.0;AQO6Z9OXKL8DQ->3.0;A35YFQ1HIVUZEV->3.0;AKHV4Z5GQIE3X->5.0;A37IW9EM5EPKKF->5.0;AXFJBD15VC7VA->2.0;A188CFEI5WY0QT->5.0;A9BBL1NU413W5->5.0;A322EKCFQU9MGY->4.0;A2W6EW06CME2J9->5.0;AYLAZUCGWB6IE->4.0;A1M8AYAL3L8ACP->3.0;A3CTGG8EGMGPIV->5.0;A2M07OF6S1RMMD->5.0;A2Q6UWR5PBHTJS->5.0;A1X167OPO9LW5X->2.0;ASUPN5NA4FFMM->3.0;A3OE1KMXKN71GA->4.0;AHR34N2H3MAIV->5.0;A2NEHVWS04AM1C->5.0;A3OMGXINQ2E35B->4.0;A23CID1PZFKXWE->5.0;ADG156ZDY5A3P->5.0;A3CEBC3UZSX0RF->5.0;A36VDDQXIGKEAD->5.0;A3EZ9FB6TPMC1I->5.0;A2KBB9QLIL810P->4.0;A1G5ASRILGGY4I->5.0;A2WBLWHLR4HD5X->5.0;A2QY447LOTE8TN->5.0;A1ZZIAV34UQQSD->4.0;A2M1SCQNDQX96H->5.0;A2QNLKVE00ATLN->3.0;A1P01B23019DJ3->4.0;A9DZCE644XO7P->3.0;AR4OXPUWOGDLT->4.0;AQ7MZZ95R2FHJ->5.0;A31PEYLW08Z1LQ->4.0;AKPJQZABVLRFR->5.0;
B0006861QI	A3CGU4EA45Z9LB->5.0;A3AN76U5FFL348->5.0;AVOJMUN65VQ03->2.0;A19A7BIGHKV3JN->5.0;A3NDHOK8QTVDPN->1.0;A2L30RC8JLBFBY->5.0;A3TQU9C3WIZD7Y->5.0;
B00069C846	A1618XQN2P7LSQ->5.0;
B0006CAP48	A1CPTCRB40EO73->4.0;
B0006D6DRK	A1TPG8HAHKTM8I->5.0;A1IMB8FTTTJN12->5.0;A2K5ESWKI4C4FI->1.0;A3KBF2S2MGN48O->4.0;A23I38K7AGOADZ->3.0;AJ2KIV3UATGJ3->4.0;unknown->1.0;A160ZFE22Z8EZV->4.0;A269TX6BCYYKBC->5.0;AQV67S2L8I1SW->5.0;
B0006DWYDW	A3DB49YRJJ2B4M->5.0;A2DTCHKN3A2QM4->4.0;A3KGS3EKVH8PA8->5.0;A1K41WMVMONNI7->5.0;A3MM09P30TU8AZ->5.0;AVQVQKO2PAQVF->5.0;A36KLGF45D6FMA->4.0;ARR3ZF45FAGMK->2.0;A51U2E35TU05M->4.0;A4HLK797V4644->1.0;AWAL894GT5S68->5.0;A2A0SO4DG6V4CG->5.0;A3MIRPG9CJXLFT->5.0;AL777FMOCB8OY->5.0;A2ROJNY48QN55E->5.0;A2IT40L4L7NAWT->5.0;A1HFEHKEG0WX9T->1.0;A10TWKUVAR51C6->4.0;A2Z4WRJJXW2WAR->4.0;
B0006WHSNE	ARXQPCLEIGYIR->1.0;A2ZO0WE12GATPW->5.0;
B0007DQIIS	A2UIXU97JYCPZG->4.0;
B0007DVHU2	A1RJD10TTI568L->5.0;unknown->5.0;A1RJD10TTI568L->5.0;A363CS52T8ZL3H->5.0;AQW8KZY926JYU->5.0;A1LJX75GT1KKLT->5.0;A39D62TBAO8DN2->4.0;AOTBK4ARRJRDW->5.0;
B0007FIF28	A2GERYVE64DIPL->3.0;
B0007MCVQ2	A3363OQWT5L3FT->2.0;A1BHUGKLYW6H7V->5.0;
B000857LFE	A1VHGPLLYUF30E->3.0;A1WGUNNY90U041->2.0;
B000879GGE	A2HDZHLMT3L5IO->5.0;
B000924R5I	A29Q0CLOF0U8BN->4.0;A254KU5H615J3N->5.0;ACVTUAQ4RUGK->1.0;A34D9XVHS261KT->3.0;A3Q3B32YUDC3IK->4.0;ANNHJND2MHUI3->1.0;ABOR4WPNRAPHE->1.0;A1RA376HUG2LGD->5.0;A2DP6EPPQAIL3C->4.0;
